Site,Plot,Sps,Max_width,Coral_ID,coords_x,coords_y,5/1/18,6/1/18,6/21/18,7/16/18,8/17/18,10/30/18,11/9/18,11/29/18,12/13/18,1/4/19,1/18/19,2/8/19,3/4/19,3/21/19,4/11/19,5/2/19,5/16/19,5/28/19,6/13/19,7/1/19,7/22/19,8/16/19,9/17/19,10/14/19,11/12/19,12/6/19,total,total_bin,days_dis,weeks_dis,tot_stressed,tot_diseased,tot_both
1,23,SINT,27,1_p23_t3_s0_c13_SINT,2.451038576,2.418298346,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
1,23,PAST,13,1_p23_t3_s0_c14_PAST,2.347181009,2.864008913,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
1,23,PAST,10,1_p23_t3_s0_c15_PAST,2.866468843,2.326905894,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
1,23,PAST,10,1_p23_t3_s0_c16_PAST,2.881305638,2.624358819,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
1,23,SSID,10,1_p23_t3_s0_c17_SSID,2.881305638,3.535139488,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
1,23,SINT,31,1_p23_t3_s0_c18_SINT,2.198813056,3.290966653,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,S,Health,meh
1,23,PAST,11,1_p23_t3_s0_c19_PAST,2.198813056,3.123680408,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
1,23,SINT,10,1_p23_t3_s0_c20_SINT,1.976261128,3.457425568,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
1,23,SINT,10,1_p23_t3_s0_c21_SINT,1.976261128,3.606124453,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
1,23,SINT,12,1_p23_t3_s0_c22_SINT,2.09495549,4.07124971,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,0,0,0,0,NS,Health,meh
